Circuit delay: 3510.26 ps

Gate slacks:
INP-n94: 3574.09 ps
NAND-n95: 3157.81 ps
INP-n96: 3574.11 ps
NAND-n97: 3157.81 ps
INP-n98: 3574.11 ps
NAND-n99: 3157.81 ps
INP-n100: 3574.11 ps
NAND-n101: 3157.81 ps
INP-n102: 3574.12 ps
NAND-n103: 3157.81 ps
INP-n104: 3574.12 ps
NAND-n105: 3157.81 ps
INP-n106: 3524.09 ps
NAND-n107: 3157.81 ps
INP-n108: 3602.89 ps
NAND-n109: 3157.81 ps
INP-n110: 3602.89 ps
NAND-n111: 3157.81 ps
INP-n112: 3602.89 ps
NAND-n113: 3157.81 ps
INP-n114: 3602.89 ps
NAND-n115: 3157.81 ps
INP-n116: 3602.89 ps
NAND-n117: 3157.81 ps
INP-n118: 3602.89 ps
NAND-n119: 3157.81 ps
INP-n120: 3602.89 ps
NAND-n121: 3157.81 ps
INP-n122: 3604.97 ps
NAND-n123: 3157.81 ps
INP-n124: 3560.86 ps
NAND-n125: 3487.72 ps
INP-n126: 3560.86 ps
NAND-n127: 3487.72 ps
INP-n128: 3560.86 ps
NAND-n129: 3487.72 ps
INP-n130: 3560.86 ps
NAND-n131: 3487.72 ps
INP-n132: 3560.86 ps
NAND-n133: 3487.72 ps
INP-n134: 3560.86 ps
NAND-n135: 3487.72 ps
INP-n136: 3560.86 ps
NAND-n137: 3487.72 ps
INP-n138: 3560.86 ps
NAND-n139: 3487.72 ps
INP-n140: 3693.34 ps
NAND-n141: 3487.72 ps
INP-n142: 3693.34 ps
NAND-n143: 3487.72 ps
INP-n144: 3693.34 ps
NAND-n145: 3487.72 ps
INP-n146: 3693.34 ps
NAND-n147: 3487.72 ps
INP-n148: 3693.34 ps
NAND-n149: 3487.72 ps
INP-n150: 3693.34 ps
NAND-n151: 3487.72 ps
INP-n152: 3693.34 ps
NAND-n153: 3487.72 ps
INP-n154: 3717.73 ps
NAND-n155: 3487.72 ps
INP-n156: 3575.46 ps
NAND-n157: 3487.72 ps
INP-n158: 3575.45 ps
NAND-n159: 3487.72 ps
INP-n160: 3575.46 ps
NAND-n161: 3487.72 ps
INP-n162: 3575.46 ps
NAND-n163: 3487.72 ps
INP-n164: 3575.47 ps
NAND-n165: 3487.72 ps
INP-n166: 3575.47 ps
NAND-n167: 3487.72 ps
INP-n168: 3575.47 ps
NAND-n169: 3487.72 ps
INP-n170: 3575.45 ps
NAND-n171: 3487.72 ps
INP-n172: 3606.32 ps
NAND-n173: 3487.72 ps
INP-n174: 3606.32 ps
NAND-n175: 3487.72 ps
INP-n176: 3606.32 ps
NAND-n177: 3487.72 ps
INP-n178: 3606.32 ps
NAND-n179: 3487.72 ps
INP-n180: 3606.32 ps
NAND-n181: 3487.72 ps
INP-n182: 3606.32 ps
NAND-n183: 3487.72 ps
INP-n184: 3606.32 ps
NAND-n185: 3487.72 ps
INP-n186: 3606.32 ps
NAND-n187: 3487.72 ps
INP-n188: 3159.11 ps
NAND-n189: 3372.72 ps
INP-n190: 3159.11 ps
NAND-n191: 3702.36 ps
INP-n192: 3155.05 ps
NAND-n193: 3635.57 ps
INP-n194: 3165.69 ps
NAND-n195: 3430.67 ps
INP-n196: 3559.51 ps
NAND-n197: 3157.81 ps
INP-n198: 3559.51 ps
NAND-n199: 3157.81 ps
INP-n200: 3559.51 ps
NAND-n201: 3157.81 ps
INP-n202: 3559.51 ps
NAND-n203: 3157.81 ps
INP-n204: 3559.51 ps
NAND-n205: 3157.81 ps
INP-n206: 3559.51 ps
NAND-n207: 3157.81 ps
INP-n208: 3559.51 ps
NAND-n209: 3157.81 ps
INP-n210: 3507.29 ps
NAND-n211: 3157.81 ps
INP-n212: 3691.99 ps
NAND-n213: 3157.81 ps
INP-n214: 3691.99 ps
NAND-n215: 3157.81 ps
INP-n216: 3691.99 ps
NAND-n217: 3157.81 ps
INP-n218: 3691.99 ps
NAND-n219: 3157.81 ps
INP-n220: 3691.99 ps
NAND-n221: 3157.81 ps
INP-n222: 3691.99 ps
NAND-n223: 3157.81 ps
INP-n224: 3691.99 ps
NAND-n225: 3157.81 ps
INP-n226: 3716.38 ps
NAND-n227: 3157.81 ps
INP-n228: 3574.11 ps
NAND-n229: 3157.81 ps
INP-n230: 3574.09 ps
NAND-n231: 3157.81 ps
INP-n232: 3574.11 ps
NAND-n233: 3157.81 ps
INP-n234: 3574.11 ps
NAND-n235: 3157.81 ps
INP-n236: 3574.11 ps
NAND-n237: 3157.81 ps
INP-n238: 3574.12 ps
NAND-n239: 3157.81 ps
INP-n240: 3574.12 ps
NAND-n241: 3157.81 ps
INP-n242: 3524.09 ps
NAND-n243: 3157.81 ps
INP-n244: 3602.89 ps
NAND-n245: 3157.81 ps
INP-n246: 3602.89 ps
NAND-n247: 3157.81 ps
INP-n248: 3602.89 ps
NAND-n249: 3157.81 ps
INP-n250: 3602.89 ps
NAND-n251: 3157.81 ps
INP-n252: 3602.89 ps
NAND-n253: 3157.81 ps
INP-n254: 3602.89 ps
NAND-n255: 3157.81 ps
INP-n256: 3602.89 ps
NAND-n257: 3157.81 ps
INP-n258: 3604.97 ps
NAND-n259: 3157.81 ps
INP-n260: 3560.86 ps
NAND-n261: 3487.72 ps
INP-n262: 3560.86 ps
NAND-n263: 3487.72 ps
INP-n264: 3560.86 ps
NAND-n265: 3487.72 ps
INP-n266: 3560.86 ps
NAND-n267: 3487.72 ps
INP-n268: 3560.86 ps
NAND-n269: 3487.72 ps
INP-n270: 3560.86 ps
NAND-n271: 3487.72 ps
INP-n272: 3560.86 ps
NAND-n273: 3487.72 ps
INP-n274: 3560.86 ps
NAND-n275: 3487.72 ps
INP-n276: 3693.34 ps
NAND-n277: 3487.72 ps
INP-n278: 3693.34 ps
NAND-n279: 3487.72 ps
INP-n280: 3693.34 ps
NAND-n281: 3487.72 ps
INP-n282: 3693.34 ps
NAND-n283: 3487.72 ps
INP-n284: 3693.34 ps
NAND-n285: 3487.72 ps
INP-n286: 3693.34 ps
NAND-n287: 3487.72 ps
INP-n288: 3693.34 ps
NAND-n289: 3487.72 ps
INP-n290: 3717.73 ps
NAND-n291: 3487.72 ps
INP-n292: 3575.46 ps
NAND-n293: 3487.72 ps
INP-n294: 3575.45 ps
NAND-n295: 3487.72 ps
INP-n296: 3575.46 ps
NAND-n297: 3487.72 ps
INP-n298: 3575.46 ps
NAND-n299: 3487.72 ps
INP-n300: 3575.47 ps
NAND-n301: 3487.72 ps
INP-n302: 3575.47 ps
NAND-n303: 3487.72 ps
INP-n304: 3575.47 ps
NAND-n305: 3487.72 ps
INP-n306: 3575.45 ps
NAND-n307: 3487.72 ps
INP-n308: 3606.32 ps
NAND-n309: 3487.72 ps
INP-n310: 3606.32 ps
NAND-n311: 3487.72 ps
INP-n312: 3606.32 ps
NAND-n313: 3487.72 ps
INP-n314: 3606.32 ps
NAND-n315: 3487.72 ps
INP-n316: 3606.32 ps
NAND-n317: 3487.72 ps
INP-n318: 3606.32 ps
NAND-n319: 3487.72 ps
INP-n320: 3606.32 ps
NAND-n321: 3487.72 ps
INP-n322: 3606.32 ps
NAND-n323: 3487.72 ps
INP-n324: 3159.11 ps
NAND-n325: 3372.72 ps
INP-n326: 3159.11 ps
NAND-n327: 3702.36 ps
INP-n328: 3155.05 ps
NAND-n329: 3635.57 ps
INP-n330: 3159.11 ps
NAND-n331: 3430.67 ps
INP-n332: 1579.90 ps
NAND-n333: 3445.99 ps
INP-n334: 1563.16 ps
NAND-n335: 3445.99 ps
INP-n336: 1579.90 ps
NAND-n337: 3445.99 ps
INP-n338: 1563.16 ps
NAND-n339: 3445.99 ps
INP-n340: 1563.16 ps
NAND-n341: 3445.99 ps
INP-n342: 1563.16 ps
NAND-n343: 3445.99 ps
INP-n344: 1563.16 ps
NAND-n345: 3445.99 ps
INP-n346: 1579.90 ps
NAND-n347: 3445.99 ps
INP-n348: 1579.90 ps
NAND-n349: 3445.99 ps
INP-n350: 1579.90 ps
NAND-n351: 3445.99 ps
INP-n352: 1563.16 ps
NAND-n353: 3445.99 ps
INP-n354: 1563.16 ps
NAND-n355: 3445.99 ps
INP-n356: 1563.16 ps
NAND-n357: 3445.99 ps
INP-n358: 1563.16 ps
NAND-n359: 3445.99 ps
INP-n360: 1579.90 ps
NAND-n361: 3445.99 ps
INP-n362: 1579.90 ps
NAND-n363: 3445.99 ps
INP-n364: 1579.90 ps
NAND-n365: 3445.99 ps
INP-n366: 1563.16 ps
NAND-n367: 3445.99 ps
INP-n368: 1563.16 ps
NAND-n369: 3445.99 ps
INP-n370: 1563.16 ps
NAND-n371: 3445.99 ps
INP-n372: 1579.90 ps
NAND-n373: 3445.99 ps
INP-n374: 1579.90 ps
NAND-n375: 3445.99 ps
INP-n376: 1563.16 ps
NAND-n377: 3445.99 ps
INP-n378: 1563.16 ps
NAND-n379: 3445.99 ps
INP-n380: 1563.16 ps
NAND-n381: 3445.99 ps
INP-n382: 1563.16 ps
NAND-n383: 3445.99 ps
INP-n384: 1579.90 ps
NAND-n385: 3445.99 ps
INP-n386: 1579.90 ps
NAND-n387: 3445.99 ps
INP-n388: 1698.50 ps
NAND-n389: 3445.99 ps
INP-n390: 2169.84 ps
NAND-n391: 3445.99 ps
INP-n392: 2219.30 ps
NAND-n393: 3445.99 ps
INP-n394: 1604.79 ps
NAND-n395: 3445.99 ps
INP-n396: 3110.35 ps
NAND-n397: 3266.14 ps
INP-n398: 3118.67 ps
NAND-n399: 3266.14 ps
INP-n400: 3044.21 ps
AND-n401: 3292.65 ps
INP-n402: 3044.21 ps
AND-n403: 3292.65 ps
INP-n404: 3044.21 ps
AND-n405: 3292.65 ps
INP-n406: 3044.21 ps
AND-n407: 3292.65 ps
INP-n408: 3044.21 ps
AND-n409: 3292.65 ps
INP-n410: 3077.59 ps
AND-n411: 3292.65 ps
INP-n412: 3077.59 ps
AND-n413: 3292.65 ps
INP-n414: 3077.59 ps
AND-n415: 3292.65 ps
INP-n416: 3044.21 ps
AND-n417: 3292.65 ps
INP-n418: 3044.21 ps
AND-n419: 3292.65 ps
INP-n420: 3044.21 ps
AND-n421: 3292.65 ps
INP-n422: 3044.21 ps
AND-n423: 3292.65 ps
INP-n424: 3044.21 ps
AND-n425: 3292.65 ps
INP-n426: 3044.21 ps
AND-n427: 3292.65 ps
INP-n428: 3044.21 ps
AND-n429: 3292.65 ps
INP-n430: 3044.21 ps
AND-n431: 3292.65 ps
INP-n432: 3044.21 ps
AND-n433: 3292.65 ps
INP-n434: 3044.21 ps
AND-n435: 3292.65 ps
INP-n436: 3044.21 ps
AND-n437: 3292.65 ps
INP-n438: 3044.21 ps
AND-n439: 3292.65 ps
INP-n440: 3077.59 ps
AND-n441: 3292.65 ps
INP-n442: 3077.59 ps
AND-n443: 3292.65 ps
INP-n444: 3077.59 ps
AND-n445: 3292.65 ps
INP-n446: 3044.21 ps
AND-n447: 3292.65 ps
INP-n448: 3044.21 ps
AND-n449: 3292.65 ps
INP-n450: 3044.21 ps
AND-n451: 3292.65 ps
INP-n452: 3044.21 ps
AND-n453: 3292.65 ps
INP-n454: 3044.21 ps
AND-n455: 3292.65 ps
INP-n456: 3044.21 ps
AND-n457: 3292.65 ps
INP-n458: 3044.21 ps
AND-n459: 3292.65 ps
INP-n460: 2543.99 ps
NAND-n461: 2693.11 ps
INP-n462: 2593.40 ps
NAND-n463: 2693.11 ps
INP-n464: 2534.56 ps
NAND-n465: 2693.11 ps
INP-n466: 2496.80 ps
NAND-n467: 2686.60 ps
INP-n468: 2598.44 ps
NAND-n469: 2656.51 ps
INP-n470: 2523.40 ps
NAND-n471: 2606.01 ps
INP-n472: 2552.02 ps
NAND-n473: 2589.27 ps
INP-n474: 2637.14 ps
NAND-n475: 2605.03 ps
INP-n476: 2626.99 ps
NAND-n477: 2586.82 ps
INP-n478: 2689.16 ps
NAND-n479: 2565.79 ps
INP-n480: 2604.42 ps
NAND-n481: 2515.29 ps
INP-n482: 2666.58 ps
NAND-n483: 2498.40 ps
INP-n484: 2770.96 ps
NAND-n485: 2467.63 ps
INP-n486: 2804.19 ps
NAND-n487: 2428.78 ps
INP-n488: 2850.88 ps
NAND-n489: 2389.97 ps
INP-n490: 2792.35 ps
NAND-n491: 2351.19 ps
INP-n492: 2837.97 ps
NAND-n493: 2306.36 ps
INP-n494: 2935.68 ps
NAND-n495: 2267.47 ps
INP-n496: 3040.62 ps
NAND-n497: 2228.88 ps
INP-n498: 2966.82 ps
NAND-n499: 2196.03 ps
INP-n500: 3041.87 ps
NAND-n501: 2157.31 ps
INP-n502: 3095.63 ps
NAND-n503: 2118.59 ps
INP-n504: 3061.73 ps
NAND-n505: 2079.89 ps
INP-n506: 3046.69 ps
NAND-n507: 2035.19 ps
INP-n508: 3062.64 ps
NAND-n509: 1996.52 ps
INP-n510: 3038.13 ps
NAND-n511: 1957.88 ps
INP-n512: 3120.56 ps
NAND-n513: 1919.16 ps
INP-n514: 3063.65 ps
NAND-n515: 1880.38 ps
INP-n516: 3099.69 ps
NAND-n517: 1841.52 ps
INP-n518: 3121.66 ps
NAND-n519: 1803.10 ps
INP-n520: 2935.01 ps
NAND-n521: 1796.77 ps
INP-n522: 2915.93 ps
NAND-n523: 1747.25 ps
INP-n524: 2543.99 ps
NAND-n525: 2693.11 ps
INP-n526: 2593.40 ps
NAND-n527: 2693.11 ps
INP-n528: 2534.56 ps
NAND-n529: 2693.11 ps
INP-n530: 2496.80 ps
NAND-n531: 2686.60 ps
INP-n532: 2598.44 ps
NAND-n533: 2656.51 ps
INP-n534: 2523.40 ps
NAND-n535: 2606.01 ps
INP-n536: 2552.02 ps
NAND-n537: 2589.27 ps
INP-n538: 2637.14 ps
NAND-n539: 2605.03 ps
INP-n540: 2626.99 ps
NAND-n541: 2586.82 ps
INP-n542: 2689.16 ps
NAND-n543: 2565.79 ps
INP-n544: 2604.42 ps
NAND-n545: 2515.29 ps
INP-n546: 2666.58 ps
NAND-n547: 2498.40 ps
INP-n548: 2770.96 ps
NAND-n549: 2467.63 ps
INP-n550: 2804.19 ps
NAND-n551: 2428.78 ps
INP-n552: 2850.88 ps
NAND-n553: 2389.97 ps
INP-n554: 2792.35 ps
NAND-n555: 2351.19 ps
INP-n556: 2837.97 ps
NAND-n557: 2306.36 ps
INP-n558: 2935.68 ps
NAND-n559: 2267.47 ps
INP-n560: 3040.62 ps
NAND-n561: 2228.88 ps
INP-n562: 2966.82 ps
NAND-n563: 2196.03 ps
INP-n564: 3041.87 ps
NAND-n565: 2157.31 ps
INP-n566: 3095.63 ps
NAND-n567: 2118.59 ps
INP-n568: 3061.73 ps
NAND-n569: 2079.89 ps
INP-n570: 3046.69 ps
NAND-n571: 2035.19 ps
INP-n572: 3062.64 ps
NAND-n573: 1996.52 ps
INP-n574: 3038.13 ps
NAND-n575: 1957.88 ps
INP-n576: 3120.56 ps
NAND-n577: 1919.16 ps
INP-n578: 3063.65 ps
NAND-n579: 1880.38 ps
INP-n580: 3099.69 ps
NAND-n581: 1841.52 ps
INP-n582: 3121.66 ps
NAND-n583: 1803.10 ps
INP-n584: 2935.01 ps
NAND-n585: 1796.77 ps
INP-n586: 2915.93 ps
NAND-n587: 1747.25 ps
INP-n588: 2543.99 ps
NAND-n589: 2490.69 ps
INP-n590: 2593.40 ps
NAND-n591: 2490.69 ps
INP-n592: 2534.56 ps
NAND-n593: 2490.69 ps
INP-n594: 2496.80 ps
NAND-n595: 2490.69 ps
INP-n596: 2598.44 ps
NAND-n597: 2490.69 ps
INP-n598: 2523.40 ps
NAND-n599: 2490.69 ps
INP-n600: 2552.02 ps
NAND-n601: 2490.69 ps
INP-n602: 2637.14 ps
NAND-n603: 2490.69 ps
INP-n604: 2626.99 ps
NAND-n605: 2490.69 ps
INP-n606: 2689.16 ps
NAND-n607: 2490.69 ps
INP-n608: 2604.42 ps
NAND-n609: 2490.69 ps
INP-n610: 2666.58 ps
NAND-n611: 2490.69 ps
INP-n612: 2770.96 ps
NAND-n613: 2490.69 ps
INP-n614: 2804.19 ps
NAND-n615: 2461.16 ps
INP-n616: 2850.88 ps
NAND-n617: 2422.35 ps
INP-n618: 2792.35 ps
NAND-n619: 2383.57 ps
INP-n620: 2837.97 ps
NAND-n621: 2344.58 ps
INP-n622: 2935.68 ps
NAND-n623: 2305.69 ps
INP-n624: 3040.62 ps
NAND-n625: 2267.10 ps
INP-n626: 2966.82 ps
NAND-n627: 2228.41 ps
INP-n628: 3041.87 ps
NAND-n629: 2189.69 ps
INP-n630: 3095.63 ps
NAND-n631: 2150.97 ps
INP-n632: 3061.73 ps
NAND-n633: 2112.27 ps
INP-n634: 3046.69 ps
NAND-n635: 2073.41 ps
INP-n636: 3062.64 ps
NAND-n637: 2034.74 ps
INP-n638: 3038.13 ps
NAND-n639: 1996.10 ps
INP-n640: 3120.56 ps
NAND-n641: 1957.38 ps
INP-n642: 3063.65 ps
NAND-n643: 1918.60 ps
INP-n644: 3099.69 ps
NAND-n645: 1879.74 ps
INP-n646: 3121.66 ps
NAND-n647: 1841.32 ps
INP-n648: 2935.01 ps
NAND-n649: 1840.06 ps
INP-n650: 2915.93 ps
NAND-n651: 1808.13 ps
INP-n652: 3733.91 ps
NAND-n653: 2876.77 ps
INP-n654: 3586.98 ps
NAND-n655: 2876.77 ps
INP-n656: 3581.42 ps
NAND-n657: 2876.77 ps
INP-n658: 3442.58 ps
NAND-n659: 2876.77 ps
INP-n660: 3439.62 ps
NAND-n661: 2876.77 ps
INP-n662: 3355.42 ps
NAND-n663: 2876.77 ps
INP-n664: 3260.81 ps
NAND-n665: 2876.77 ps
INP-n666: 3160.20 ps
NAND-n667: 2876.77 ps
INP-n668: 3093.01 ps
NAND-n669: 2876.77 ps
INP-n670: 2986.34 ps
NAND-n671: 2876.77 ps
INP-n672: 2881.10 ps
NAND-n673: 2876.77 ps
INP-n674: 2785.08 ps
NAND-n675: 2876.77 ps
INP-n676: 2688.95 ps
NAND-n677: 2876.77 ps
INP-n678: 2581.42 ps
NAND-n679: 2888.05 ps
INP-n680: 2482.40 ps
NAND-n681: 2888.05 ps
INP-n682: 2388.29 ps
NAND-n683: 2888.05 ps
INP-n684: 2289.62 ps
NAND-n685: 2888.05 ps
INP-n686: 2169.65 ps
NAND-n687: 2888.05 ps
INP-n688: 2039.48 ps
NAND-n689: 2888.05 ps
INP-n690: 2041.25 ps
NAND-n691: 2888.05 ps
INP-n692: 1755.91 ps
NAND-n693: 3137.04 ps
INP-n694: 1755.91 ps
NAND-n695: 3134.76 ps
INP-n696: 1690.37 ps
NAND-n697: 3078.73 ps
INP-n698: 1643.07 ps
NAND-n699: 3052.54 ps
INP-n700: 1611.85 ps
NAND-n701: 3085.89 ps
INP-n702: 1572.62 ps
NAND-n703: 3052.54 ps
INP-n704: 1548.08 ps
NAND-n705: 3085.89 ps
INP-n706: 1487.71 ps
NAND-n707: 3089.28 ps
INP-n708: 1417.58 ps
NAND-n709: 3089.28 ps
INP-n710: 1359.16 ps
NAND-n711: 3085.89 ps
INP-n712: 1310.99 ps
NAND-n713: 3041.66 ps
INP-n714: 1259.21 ps
NAND-n715: 3107.65 ps
INP-n716: 1202.15 ps
NAND-n717: 3085.89 ps
INP-n718: 1093.83 ps
NAND-n719: 3078.40 ps
INP-n720: 1032.21 ps
NAND-n721: 3089.28 ps
INP-n722: 927.53 ps
NAND-n723: 3052.54 ps
INP-n724: 926.98 ps
NAND-n725: 3076.23 ps
INP-n726: 879.97 ps
NAND-n727: 3042.47 ps
INP-n728: 825.78 ps
NAND-n729: 3023.69 ps
INP-n730: 790.11 ps
NAND-n731: 2964.78 ps
INP-n732: 740.36 ps
NAND-n733: 2949.39 ps
INP-n734: 682.71 ps
NAND-n735: 2882.99 ps
INP-n736: 675.29 ps
NAND-n737: 2819.97 ps
INP-n738: 656.57 ps
NAND-n739: 2819.56 ps
INP-n740: 652.46 ps
NAND-n741: 2800.78 ps
INP-n742: 642.73 ps
NAND-n743: 2741.88 ps
INP-n744: 603.10 ps
NAND-n745: 2700.62 ps
INP-n746: 592.01 ps
NAND-n747: 2649.27 ps
INP-n748: 593.49 ps
NAND-n749: 2610.63 ps
INP-n750: 579.50 ps
NAND-n751: 2705.75 ps
INP-n752: 560.78 ps
NAND-n753: 3230.43 ps
INP-n754: 1465.79 ps
NAND-n755: 3230.43 ps
INP-n756: 2825.73 ps
NAND-n757: 2165.23 ps
INP-n758: 2574.68 ps
NAND-n759: 2313.06 ps
INP-n760: 2983.33 ps
NAND-n761: 1977.87 ps
INP-n762: 2244.43 ps
NAND-n763: 2583.32 ps
INP-n764: 2686.13 ps
NAND-n765: 2227.99 ps
INP-n766: 2534.56 ps
NAND-n767: 2688.99 ps
INP-n768: 2426.07 ps
NAND-n769: 2392.47 ps
INP-n770: 2834.73 ps
NAND-n771: 2142.91 ps
INP-n772: 2500.37 ps
NAND-n773: 2319.11 ps
INP-n774: 2760.43 ps
NAND-n775: 2136.87 ps
INP-n776: 2543.99 ps
NAND-n777: 2759.02 ps
INP-n778: 2355.88 ps
NAND-n779: 2504.11 ps
INP-n780: 2174.49 ps
NAND-n781: 2649.49 ps
INP-n782: 2909.03 ps
NAND-n783: 2052.43 ps
INP-n784: 2648.98 ps
NAND-n785: 2233.46 ps
INP-n786: 2207.31 ps
NAND-n787: 2610.16 ps
INP-n788: 2611.83 ps
NAND-n789: 2261.56 ps
INP-n790: 2946.18 ps
NAND-n791: 2006.68 ps
INP-n792: 2463.22 ps
NAND-n793: 2346.74 ps
INP-n794: 2797.58 ps
NAND-n795: 2109.12 ps
INP-n796: 2593.40 ps
NAND-n797: 2740.51 ps
INP-n798: 2318.73 ps
NAND-n799: 2549.76 ps
INP-n800: 3049.71 ps
NAND-n801: 2029.11 ps
INP-n802: 2723.28 ps
NAND-n803: 2182.61 ps
INP-n804: 2174.49 ps
NAND-n805: 2660.84 ps
INP-n806: 2388.92 ps
NAND-n807: 2437.85 ps
INP-n808: 2871.88 ps
NAND-n809: 2103.18 ps
INP-n810: 2537.53 ps
NAND-n811: 2352.78 ps
INP-n812: 3013.68 ps
NAND-n813: 2012.36 ps
INP-n814: 2281.58 ps
NAND-n815: 2555.22 ps
INP-n816: 3199.56 ps
NOT-n817: 3839.43 ps
INP-n818: 3136.68 ps
NAND-n819: 3242.93 ps
INP-n820: 1965.73 ps
NOT-n821: 3285.25 ps
INP-n822: 1842.86 ps
NAND-n823: 3445.99 ps
INP-n824: 1842.86 ps
NAND-n825: 3445.99 ps
INP-n826: 1842.86 ps
NAND-n827: 3445.99 ps
INP-n828: 1842.86 ps
NAND-n829: 3445.99 ps
INP-n830: 1842.86 ps
NAND-n831: 3445.99 ps
INP-n832: 1842.86 ps
NAND-n833: 3445.99 ps
INP-n834: 1842.86 ps
NAND-n835: 3445.99 ps
INP-n836: 1842.86 ps
NAND-n837: 3445.99 ps
INP-n838: 1842.86 ps
NAND-n839: 3445.99 ps
INP-n840: 1842.86 ps
NAND-n841: 3445.99 ps
INP-n842: 1842.86 ps
NAND-n843: 3445.99 ps
INP-n844: 1842.86 ps
NAND-n845: 3445.99 ps
INP-n846: 1842.86 ps
NAND-n847: 3445.99 ps
INP-n848: 1842.86 ps
NAND-n849: 3445.99 ps
INP-n850: 1842.86 ps
NAND-n851: 3445.99 ps
INP-n852: 1842.86 ps
NAND-n853: 3445.99 ps
INP-n854: 1842.86 ps
NAND-n855: 3445.99 ps
INP-n856: 1914.29 ps
NAND-n857: 3445.99 ps
INP-n858: 1914.29 ps
NAND-n859: 3445.99 ps
INP-n860: 1914.29 ps
NAND-n861: 3445.99 ps
INP-n862: 1914.29 ps
NAND-n863: 3445.99 ps
INP-n864: 1914.29 ps
NAND-n865: 3445.99 ps
INP-n866: 1914.29 ps
NAND-n867: 3445.99 ps
INP-n868: 1914.29 ps
NAND-n869: 3415.13 ps
INP-n870: 1914.29 ps
NAND-n871: 3391.65 ps
INP-n872: 1966.79 ps
NAND-n873: 3445.99 ps
INP-n874: 1966.79 ps
NAND-n875: 3445.99 ps
INP-n876: 1966.79 ps
NAND-n877: 3445.99 ps
INP-n878: 2046.87 ps
NAND-n879: 3445.99 ps
INP-n880: 2172.31 ps
NAND-n881: 3445.99 ps
INP-n882: 2287.46 ps
NAND-n883: 3445.99 ps
INP-n884: 1954.06 ps
NAND-n885: 3445.99 ps
INP-n886: 3108.80 ps
NAND-n887: 3112.99 ps
INP-n888: 3117.12 ps
NAND-n889: 3112.99 ps
INP-n890: 3042.67 ps
AND-n891: 3139.51 ps
INP-n892: 3042.67 ps
AND-n893: 3139.51 ps
INP-n894: 3042.67 ps
AND-n895: 3139.51 ps
INP-n896: 3042.67 ps
AND-n897: 3139.51 ps
INP-n898: 3042.67 ps
AND-n899: 3139.51 ps
INP-n900: 3076.05 ps
AND-n901: 3139.51 ps
INP-n902: 3076.05 ps
AND-n903: 3139.51 ps
INP-n904: 3076.05 ps
